Cantidad_atributos,Atributos_usados,Mejor_n,Accuracy
3,"[334, 59, 353]",12,0.7703571428571429
3,"[47, 462, 27]",12,0.7014285714285714
3,"[489, 607, 319]",27,0.7046428571428571
3,"[323, 432, 327]",22,0.7207142857142858
3,"[340, 131, 389]",27,0.6975
3,"[597, 604, 495]",27,0.8039285714285714
3,"[151, 481, 273]",22,0.7942857142857143
3,"[59, 439, 208]",17,0.7460714285714286
3,"[223, 667, 499]",22,0.5607142857142857
3,"[249, 148, 367]",22,0.7707142857142857
4,"[769, 515, 192, 763]",17,0.7253571428571428
4,"[476, 571, 576, 543]",12,0.7939285714285714
4,"[764, 648, 445, 582]",27,0.7264285714285714
4,"[268, 372, 765, 238]",22,0.6760714285714285
4,"[199, 442, 98, 291]",22,0.6767857142857143
4,"[24, 171, 129, 550]",27,0.73
4,"[783, 767, 470, 258]",27,0.6532142857142857
4,"[46, 764, 158, 732]",22,0.6392857142857142
4,"[699, 127, 114, 95]",17,0.7989285714285714
4,"[124, 697, 606, 516]",12,0.75
5,"[546, 50, 17, 327, 587]",22,0.7635714285714286
5,"[233, 424, 57, 224, 418]",17,0.8157142857142857
5,"[494, 572, 325, 389, 326]",12,0.8107142857142857
5,"[501, 76, 456, 1, 89]",27,0.7164285714285714
5,"[263, 589, 119, 280, 457]",17,0.7896428571428571
5,"[221, 575, 476, 419, 461]",17,0.7985714285714286
5,"[220, 528, 700, 522, 32]",17,0.7707142857142857
5,"[389, 85, 22, 52, 221]",7,0.6989285714285715
5,"[142, 9, 749, 317, 175]",12,0.7653571428571428
5,"[144, 601, 369, 184, 700]",12,0.7364285714285714
8,"[392, 61, 62, 537, 27, 328, 148, 85]",22,0.8007142857142857
8,"[718, 309, 720, 411, 573, 769, 395, 202]",22,0.8267857142857142
8,"[155, 31, 198, 374, 482, 26, 595, 758]",27,0.7267857142857143
8,"[47, 436, 91, 644, 476, 166, 304, 626]",12,0.8507142857142858
8,"[141, 5, 588, 230, 388, 310, 592, 47]",22,0.7521428571428571
8,"[28, 11, 16, 203, 68, 353, 605, 774]",22,0.8375
8,"[609, 36, 252, 167, 500, 154, 497, 292]",7,0.7907142857142857
8,"[345, 278, 255, 616, 561, 540, 211, 269]",12,0.7325
8,"[153, 119, 115, 40, 487, 53, 690, 573]",22,0.7960714285714285
8,"[286, 221, 394, 239, 20, 315, 431, 114]",17,0.7157142857142857
10,"[127, 776, 279, 245, 54, 171, 272, 409, 419, 145]",12,0.8292857142857143
10,"[753, 300, 488, 53, 494, 570, 749, 336, 208, 711]",12,0.8625
10,"[218, 66, 328, 658, 664, 443, 752, 421, 243, 232]",17,0.8564285714285714
10,"[250, 365, 393, 368, 147, 618, 293, 749, 756, 482]",22,0.8021428571428572
10,"[178, 665, 395, 110, 643, 457, 223, 481, 544, 225]",12,0.8617857142857143
10,"[78, 686, 101, 720, 58, 7, 533, 323, 783, 365]",22,0.805
10,"[584, 326, 99, 244, 37, 329, 538, 577, 304, 229]",7,0.8542857142857143
10,"[412, 450, 645, 618, 509, 743, 116, 732, 181, 58]",7,0.8160714285714286
10,"[214, 178, 303, 538, 485, 677, 212, 329, 608, 277]",7,0.8603571428571428
10,"[189, 77, 88, 511, 745, 301, 2, 409, 43, 132]",7,0.8332142857142857
15,"[558, 536, 574, 55, 61, 494, 519, 49, 609, 658, 99, 484, 249, 492, 432]",7,0.9092857142857143
15,"[295, 285, 57, 215, 559, 509, 632, 322, 562, 539, 198, 430, 203, 566, 234]",12,0.8896428571428572
15,"[219, 417, 669, 721, 681, 521, 714, 329, 44, 675, 365, 182, 203, 171, 79]",17,0.9028571428571428
15,"[405, 46, 711, 585, 574, 536, 652, 188, 708, 670, 535, 782, 358, 678, 89]",7,0.8571428571428571
15,"[295, 715, 299, 201, 675, 221, 446, 124, 0, 138, 683, 297, 760, 213, 740]",12,0.8842857142857142
15,"[110, 635, 224, 626, 407, 409, 649, 522, 175, 9, 346, 487, 53, 690, 108]",17,0.91
15,"[296, 668, 101, 697, 468, 688, 695, 172, 611, 4, 270, 414, 764, 783, 30]",7,0.8446428571428571
15,"[167, 517, 255, 170, 436, 578, 460, 314, 115, 305, 783, 1, 354, 695, 445]",27,0.8982142857142857
15,"[309, 514, 234, 70, 339, 575, 653, 352, 485, 496, 66, 100, 104, 584, 738]",7,0.9217857142857143
15,"[114, 356, 29, 777, 545, 277, 50, 374, 138, 5, 300, 422, 519, 22, 644]",17,0.8235714285714286
20,"[318, 514, 560, 202, 172, 247, 319, 117, 500, 377, 153, 553, 363, 458, 667, 515, 499, 217, 427, 301]",12,0.9021428571428571
20,"[522, 447, 109, 713, 55, 460, 180, 439, 739, 568, 647, 384, 758, 675, 60, 576, 107, 155, 704, 205]",12,0.9139285714285714
20,"[396, 252, 550, 399, 145, 591, 508, 588, 260, 569, 46, 555, 383, 153, 393, 128, 331, 108, 208, 244]",12,0.9075
20,"[386, 326, 732, 295, 35, 379, 645, 489, 495, 287, 238, 409, 708, 424, 561, 676, 137, 736, 367, 456]",12,0.9239285714285714
20,"[546, 77, 66, 91, 376, 773, 712, 345, 404, 214, 676, 145, 583, 509, 279, 455, 725, 476, 551, 67]",12,0.9092857142857143
20,"[481, 549, 500, 542, 698, 37, 696, 428, 497, 410, 445, 705, 282, 392, 301, 468, 285, 374, 402, 115]",7,0.8985714285714286
20,"[174, 254, 216, 655, 510, 518, 345, 26, 332, 486, 260, 291, 734, 719, 230, 410, 487, 749, 434, 182]",12,0.9321428571428572
20,"[245, 411, 225, 587, 458, 597, 112, 590, 432, 210, 459, 548, 465, 381, 151, 487, 91, 705, 575, 527]",12,0.9282142857142858
20,"[188, 29, 563, 614, 669, 146, 501, 227, 130, 31, 392, 742, 220, 358, 232, 258, 406, 78, 276, 586]",17,0.8546428571428571
20,"[728, 555, 559, 363, 486, 68, 741, 354, 398, 155, 464, 433, 78, 481, 470, 352, 193, 774, 346, 777]",12,0.9253571428571429
