Cantidad_atributos,Atributos_usados,Accuracy
4,"[0, 27, 28, 55]",0.5132142857142857
4,"[56, 83, 84, 168]",0.5135714285714286
4,"[17, 62, 92, 120]",0.7667857142857143
4,"[444, 445, 446, 447]",0.7078571428571429
4,"[578, 612, 499, 702]",0.68
4,"[416, 370, 360, 388]",0.7135714285714285
4,"[94, 122, 149, 150]",0.8328571428571429
5,"[0, 27, 28, 55, 56]",0.515
5,"[56, 83, 84, 168, 783]",0.5153571428571428
5,"[17, 62, 92, 120, 355]",0.78
5,"[444, 445, 446, 447, 448]",0.7085714285714285
5,"[578, 612, 499, 702, 550]",0.7139285714285715
5,"[416, 151, 370, 360, 388]",0.8189285714285715
5,"[177, 178, 205, 206, 122]",0.8478571428571429
7,"[0, 27, 28, 55, 56, 83, 84]",0.5135714285714286
7,"[56, 83, 84, 168, 196, 224, 252]",0.5071428571428571
7,"[17, 62, 92, 120, 264, 148, 404]",0.7960714285714285
7,"[444, 445, 446, 447, 448, 449, 450]",0.7085714285714285
7,"[578, 612, 499, 702, 123, 389, 12]",0.7967857142857143
7,"[151, 388, 398, 416, 370, 360, 389]",0.8132142857142857
7,"[149, 178, 206, 150, 94, 205, 122]",0.8639285714285714
