Profundidad,Criterio,min_samples_split,min_samples_leaf,Precisión
10,entropy,2,2,0.7116964285714286
10,entropy,12,2,0.7115535714285715
10,entropy,22,2,0.7101607142857143
10,entropy,32,2,0.7086428571428571
10,entropy,42,2,0.7071785714285713
10,entropy,2,12,0.7094285714285714
10,entropy,12,12,0.7094285714285714
10,entropy,22,12,0.7094285714285714
10,entropy,32,12,0.7089821428571428
10,entropy,42,12,0.7076071428571429
10,entropy,2,22,0.7054107142857143
10,entropy,12,22,0.7054107142857143
10,entropy,22,22,0.7054107142857143
10,entropy,32,22,0.7054107142857143
10,entropy,42,22,0.7054107142857143
10,entropy,2,32,0.7003571428571428
10,entropy,12,32,0.7003571428571428
10,entropy,22,32,0.7003571428571428
10,entropy,32,32,0.7003571428571428
10,entropy,42,32,0.7003571428571428
10,entropy,2,42,0.6954642857142858
10,entropy,12,42,0.6954642857142858
10,entropy,22,42,0.6954642857142858
10,entropy,32,42,0.6954642857142858
10,entropy,42,42,0.6954642857142858
