profundidad,criterio,min_samples_split,min_samples_leaf,presicion
1,gini,2,1,0.1782857142857143
1,entropy,2,1,0.1782857142857143
1,gini,2,4,0.1782857142857143
1,entropy,2,4,0.1782857142857143
1,gini,2,7,0.1782857142857143
1,entropy,2,7,0.1782857142857143
1,gini,2,10,0.1782857142857143
1,entropy,2,10,0.1782857142857143
1,gini,7,1,0.1782857142857143
1,entropy,7,1,0.1782857142857143
1,gini,7,4,0.1782857142857143
1,entropy,7,4,0.1782857142857143
1,gini,7,7,0.1782857142857143
1,entropy,7,7,0.1782857142857143
1,gini,7,10,0.1782857142857143
1,entropy,7,10,0.1782857142857143
1,gini,12,1,0.1782857142857143
1,entropy,12,1,0.1782857142857143
1,gini,12,4,0.1782857142857143
1,entropy,12,4,0.1782857142857143
1,gini,12,7,0.1782857142857143
1,entropy,12,7,0.1782857142857143
1,gini,12,10,0.1782857142857143
1,entropy,12,10,0.1782857142857143
1,gini,17,1,0.1782857142857143
1,entropy,17,1,0.1782857142857143
1,gini,17,4,0.1782857142857143
1,entropy,17,4,0.1782857142857143
1,gini,17,7,0.1782857142857143
1,entropy,17,7,0.1782857142857143
1,gini,17,10,0.1782857142857143
1,entropy,17,10,0.1782857142857143
4,gini,2,1,0.4709821428571429
4,entropy,2,1,0.46551785714285715
4,gini,2,4,0.4709821428571429
4,entropy,2,4,0.46551785714285715
4,gini,2,7,0.4709821428571429
4,entropy,2,7,0.46551785714285715
4,gini,2,10,0.4709821428571429
4,entropy,2,10,0.46551785714285715
4,gini,7,1,0.4709821428571429
4,entropy,7,1,0.46551785714285715
4,gini,7,4,0.4709821428571429
4,entropy,7,4,0.46551785714285715
4,gini,7,7,0.4709821428571429
4,entropy,7,7,0.46551785714285715
4,gini,7,10,0.4709821428571429
4,entropy,7,10,0.46551785714285715
4,gini,12,1,0.4709821428571429
4,entropy,12,1,0.46551785714285715
4,gini,12,4,0.4709821428571429
4,entropy,12,4,0.46551785714285715
4,gini,12,7,0.4709821428571429
4,entropy,12,7,0.46551785714285715
4,gini,12,10,0.4709821428571429
4,entropy,12,10,0.46551785714285715
4,gini,17,1,0.4709821428571429
4,entropy,17,1,0.46551785714285715
4,gini,17,4,0.4709821428571429
4,entropy,17,4,0.46551785714285715
4,gini,17,7,0.4709821428571429
4,entropy,17,7,0.46551785714285715
4,gini,17,10,0.4709821428571429
4,entropy,17,10,0.46551785714285715
7,gini,2,1,0.6061428571428571
7,entropy,2,1,0.6265000000000001
7,gini,2,4,0.6061428571428571
7,entropy,2,4,0.6265000000000001
7,gini,2,7,0.6060714285714286
7,entropy,2,7,0.6265000000000001
7,gini,2,10,0.6060892857142857
7,entropy,2,10,0.6264821428571429
7,gini,7,1,0.6061428571428571
7,entropy,7,1,0.6265000000000001
7,gini,7,4,0.6061428571428571
7,entropy,7,4,0.6265000000000001
7,gini,7,7,0.6060714285714286
7,entropy,7,7,0.6265000000000001
7,gini,7,10,0.6060892857142857
7,entropy,7,10,0.6264821428571429
7,gini,12,1,0.6061428571428571
7,entropy,12,1,0.6265000000000001
7,gini,12,4,0.6061428571428571
7,entropy,12,4,0.6265000000000001
7,gini,12,7,0.6060714285714286
7,entropy,12,7,0.6265000000000001
7,gini,12,10,0.6060892857142857
7,entropy,12,10,0.6264821428571429
7,gini,17,1,0.6061428571428571
7,entropy,17,1,0.6265000000000001
7,gini,17,4,0.6061428571428571
7,entropy,17,4,0.6265000000000001
7,gini,17,7,0.6060714285714286
7,entropy,17,7,0.6265000000000001
7,gini,17,10,0.6060892857142857
7,entropy,17,10,0.6264821428571429
10,gini,2,1,0.700392857142857
10,entropy,2,1,0.7119107142857143
10,gini,2,4,0.7008928571428571
10,entropy,2,4,0.7122142857142857
10,gini,2,7,0.7003214285714285
10,entropy,2,7,0.7107678571428572
10,gini,2,10,0.6991249999999999
10,entropy,2,10,0.71025
10,gini,7,1,0.7011964285714285
10,entropy,7,1,0.7118035714285715
10,gini,7,4,0.7008928571428571
10,entropy,7,4,0.7122142857142857
10,gini,7,7,0.7003214285714285
10,entropy,7,7,0.7107678571428572
10,gini,7,10,0.6991249999999999
10,entropy,7,10,0.71025
10,gini,12,1,0.7003749999999999
10,entropy,12,1,0.7115535714285715
10,gini,12,4,0.7006607142857142
10,entropy,12,4,0.7118214285714287
10,gini,12,7,0.7003214285714285
10,entropy,12,7,0.7107678571428572
10,gini,12,10,0.6991249999999999
10,entropy,12,10,0.71025
10,gini,17,1,0.6996964285714287
10,entropy,17,1,0.7104107142857142
10,gini,17,4,0.7001785714285714
10,entropy,17,4,0.711125
10,gini,17,7,0.699607142857143
10,entropy,17,7,0.7105535714285713
10,gini,17,10,0.6991249999999999
10,entropy,17,10,0.71025
